what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1310507859411
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1310507859415
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1310507859454
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1310507859498
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1310507859550
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1310507859581
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1310507859590
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1310507859601
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1310507859659
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1310507859781
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1310507859782
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1310507859788
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1310507859789
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1310507859795
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1310507859797
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1310507859797
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1310507859811
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1310507859812
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1310507859820
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1310507859825
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1310507859846
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1310507859857
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1310507859865
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1310507859872
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1310507859996
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1310507860004
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1310507860010
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1310507860011
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1310507860090
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1310507860101
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1310507860102
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1310507860103
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1310507860199
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1310507860220
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1310507860226
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1310507860235
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1310507860240
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1310507860250
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1310507860260
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1310507860285
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1310507860394
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1310507860411
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1310507860498
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1310507860513
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1310507860524
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1310507860529
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1310507860554
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1310507860562
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1310507860562
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1310507860563
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1310507860574
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1310507860636
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1310507860647
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1310507860666
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1310507860667
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1310507860668
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1310507860682
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1310507860682
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1310507860691
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1310507860803
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1310507860875
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1310507860875
started,bundle,com.google.gdt.eclipse.designer,2.2.1.r36x201103301817,"com.google.gdt.eclipse.designer",1310507860891
started,bundle,org.eclipse.wb.core,0.9.0.r36x201103301742,"org.eclipse.wb.core",1310507860899
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201103301742,"org.eclipse.wb.core.lib",1310507861235
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.I20110415-0655,"org.eclipse.mylyn.bugzilla.core",1310507861246
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.bugzilla.ui",1310507861258
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.I20110415-0655,"org.eclipse.mylyn.commons.net",1310507861258
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.commons.ui",1310507861261
started,bundle,org.eclipse.mylyn.context.core,3.6.0.I20110415-0655,"org.eclipse.mylyn.context.core",1310507861278
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.context.ui",1310507861283
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.monitor.ui",1310507861284
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.tasks.ui",1310507861295
os,sysinfo,,,"linux",1310507861301
arch,sysinfo,,,"x86_64",1310507861302
ws,sysinfo,,,"gtk",1310507861302
locale,sysinfo,,,"en_IN",1310507861302
processors,sysinfo,,,"2",1310507861302
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1310507861302
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1310507861302
java.specification.name,sysinfo,,,"Java Platform API Specification",1310507861302
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310507861302
java.specification.version,sysinfo,,,"1.6",1310507861302
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1310507861302
java.version,sysinfo,,,"1.6.0_20",1310507861302
java.vm.info,sysinfo,,,"mixed mode",1310507861302
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1310507861302
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1310507861310
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310507861310
java.vm.specification.version,sysinfo,,,"1.0",1310507861310
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1310507861310
java.vm.version,sysinfo,,,"19.0-b09",1310507861310
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201103301753,"org.eclipse.wb.core.xml",1310507861376
started,bundle,org.eclipse.wb.os.linux,0.9.0.r36x201103301742,"org.eclipse.wb.os.linux",1310507861559
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.I20110415-0655,"org.eclipse.mylyn.team.ui",1310507861663
started,bundle,org.jboss.tools.common,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common",1310507861782
started,bundle,org.jboss.tools.common.model,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model",1310507861941
started,bundle,org.jboss.tools.usage,1.0.0.v20110215-1224-H25-GA,"org.jboss.tools.usage",1310507861942
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1310507862222
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1310507862242
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1310507862332
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1310507862389
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1310507863201
started,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.ui",1310507863272
started,bundle,org.jboss.tools.common.projecttemplates,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.projecttemplates",1310507864122
started,bundle,org.jboss.tools.jst.web,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web",1310507864149
started,bundle,org.jboss.tools.struts.ui,3.1.0.v20110215-1526-H32-GA,"org.jboss.tools.struts.ui",1310507864155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310507864440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310507865268
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310507870461
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1310507870513
